observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs3482;40;SC;SUL;30;41.61;2019;2 anos;60;38350.79;1.04;7790.0;3280.0;11;N;N;EF;700;;;;;S;2;0.0
obs7702;45;PE;NORDESTE;30;33.87;2022;0 Km;60;59639.94;1.54;6560.0;2009.0;23;N;N;EF;691;3.0;A2;RUIM;B3;S;-1;0.0
obs4454;80;DF;CENTRO-OESTE;30;29.18;2022;0 Km;60;30876.83;1.2;6150.0;5945.0;11;N;N;EF;747;3.0;A1;BOM;B3;S;-1;0.0
obs609;38;AP;NORTE;30;41.25;2021;0 Km;60;46860.97;1.12;4920.0;4223.0;22;N;N;EF;693;3.0;A1;BOM;A3;S;0;0.0
obs4735;23;SC;SUL;30;78.26;2018;>= 3 anos;60;10628.79;1.39;2050.0;820.0;13;N;N;EF;664;;;;;;3;0.0
obs6759;55;SC;SUL;30;58.96;2021;0 Km;48;29662.35;0.95;2624.0;1886.0;0;N;S;EF;764;3.0;A2;BOM;A2;S;0;0.0
obs1435;48;PA;NORTE;30;64.28;2021;0 Km;24;27979.57;0.0;5740.0;2624.0;21;N;N;EF;715;3.0;A2;BOM;A1;S;0;0.0
obs8423;33;GO;CENTRO-OESTE;30;84.74;2022;0 Km;24;14443.93;0.0;7380.0;697.0;0;N;N;EF;723;3.0;A1;BOM;A1;N;-1;0.0
obs8619;59;DF;CENTRO-OESTE;30;26.8;2022;0 Km;49;68904.08;0.9;5658.0;3403.0;35;N;N;EF;720;2.0;A2;RUIM;B3;S;-1;0.0
obs1899;51;SP;SULDESTE;30;53.46;2021;2 anos;24;17951.01;1.14;4920.0;2009.0;17;N;N;EF;698;;;;;;0;0.0
obs5923;66;SP;SULDESTE;30;52.52;2017;>= 3 anos;48;20437.52;1.04;2337.0;1394.0;23;N;N;EF;684;;;;;N;4;0.0
obs8379;42;RS;SUL;30;7.6;2022;0 Km;60;43680.68;1.18;6068.0;1845.0;16;N;N;EF;733;3.0;A2;BOM;C3;N;-1;0.0
obs8304;55;GO;CENTRO-OESTE;30;22.96;2022;0 Km;60;70480.55;1.32;16400.0;15908.0;0;N;N;EF;764;3.0;A4;BOM;B3;S;-1;0.0
obs4301;65;MA;NORDESTE;30;32.38;2022;0 Km;49;36687.37;1.16;2870.0;943.0;39;N;N;EF;656;3.0;A2;BOM;B3;S;-1;0.0
obs7508;53;BA;NORDESTE;30;20.62;2022;0 Km;60;36695.64;1.18;24600.0;1968.0;3;N;N;EF;687;2.0;A2;RUIM;B3;S;-1;0.0
