observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs8211;40;MS;CENTRO-OESTE;30;24.61;2022;0 Km;49;33329.78;1.22;4230.38;1435.0;24;N;N;EF;697;2.0;A2;RUIM;B3;S;3;0.0
obs1643;74;PE;NORDESTE;30;51.2;2021;0 Km;48;29312.57;1.35;3280.0;3034.0;25;N;N;EF;679;3.0;A2;PESS;A2;N;4;0.0
obs4194;72;PA;NORTE;30;44.83;2022;0 Km;49;31140.08;1.16;7380.0;5986.0;0;N;N;EF;696;3.0;A2;PESS;A3;S;3;0.0
obs6112;45;ES;SULDESTE;30;25.46;2022;0 Km;49;32811.22;1.05;2296.0;2624.0;41;N;N;EF;687;3.0;A4;RUIM;B3;S;3;0.0
obs3818;59;MG;SULDESTE;30;57.69;2021;0 Km;24;61696.57;1.05;12300.0;1107.0;24;N;N;EF;711;3.0;A4;BOM;A1;N;4;0.0
obs9257;37;PA;NORTE;30;1.68;2022;0 Km;60;47518.6;1.07;9951.03;6068.0;11;N;N;EF;733;3.0;A2;BOM;C3;S;3;0.0
obs4243;33;SP;SULDESTE;30;40.26;2021;0 Km;49;49243.67;1.02;9840.0;2542.0;14;N;N;EF;691;3.0;A4;PESS;A3;N;4;0.0
obs1601;42;PA;NORTE;30;24.4;2021;0 Km;49;60415.97;0.93;3854.0;1230.0;0;N;N;EF;714;3.0;A2;BOM;B3;S;4;0.0
obs6192;41;RJ;SULDESTE;30;38.63;2022;0 Km;48;49417.37;1.23;16400.0;11849.0;0;N;N;EF;710;3.0;A2;BOM;B2;S;3;0.0
obs5703;61;RJ;SULDESTE;30;57.78;2022;0 Km;36;34962.92;0.76;4920.0;4387.0;23;N;N;EF;696;3.0;A4;RUIM;A1;N;3;0.0
obs8982;71;RS;SUL;30;63.92;2021;0 Km;37;31282.87;1.27;4920.0;2009.0;23;N;N;EF;720;3.0;A4;PESS;A2;S;4;0.0
obs4816;50;MS;CENTRO-OESTE;30;9.48;2019;2 anos;48;29665.29;1.68;5740.0;2911.0;16;N;N;EF;640;;;;;N;6;0.0
obs9282;65;PE;NORDESTE;30;51.49;2022;0 Km;24;23148.16;0.82;5740.0;2624.0;19;N;N;EF;747;3.0;A2;BOM;A1;S;3;0.0
obs4765;30;SP;SULDESTE;30;30.68;2022;0 Km;49;28922.78;1.05;2870.0;1230.0;30;N;N;EF;691;3.0;A1;RUIM;B3;S;3;0.0
obs8202;32;SC;SUL;30;51.63;2021;0 Km;60;45163.01;1.02;4100.0;1312.0;25;N;N;EF;733;3.0;A1;BOM;A3;S;4;0.0
obs596;63;SP;SULDESTE;30;63.08;2021;0 Km;24;33292.89;0.0;5740.0;5945.0;25;N;N;EF;760;1.0;A4;BOM;A1;;4;0.0
obs7395;68;SP;SULDESTE;30;82.04;2021;0 Km;12;11686.91;0.6;3854.0;2583.0;26;N;N;EF;760;3.0;A4;BOM;A1;S;4;0.0
obs8994;42;PR;SUL;30;71.54;2019;2 anos;60;17053.18;1.18;6150.0;4141.0;6;N;N;EF;694;;;;;S;6;0.0
obs8436;58;BA;NORDESTE;30;28.0;2022;0 Km;49;39021.69;1.22;4510.0;4305.0;27;N;N;EF;711;3.0;A2;RUIM;B3;S;3;0.0
